date,symbol,quantity,activityType,unitPrice,amount,currency,fee,comment
2026-02-09,161723.FUND,2224.99,ADD_HOLDING,1.5955,3550.00,CNY,0,招商中证银行指数A
2026-02-09,004235.FUND,1899.00,ADD_HOLDING,4.3181,8200.00,CNY,0,中欧价值智选回报C
2026-02-09,008763.FUND,19807.33,ADD_HOLDING,1.3581,26900.00,CNY,0,天弘越南市场A
2026-02-09,530001.FUND,18357.46,ADD_HOLDING,1.1306,20755.39,CNY,0,建信恒久价值
2026-02-09,050025.FUND,11213.37,ADD_HOLDING,3.4512,38700.00,CNY,0,博时标普500ETF联接(QDII)A
2026-02-09,000614.FUND,2544.64,ADD_HOLDING,1.5719,4000.00,CNY,0,华安国际龙头(DAX)ETF联接A
2026-02-09,001594.FUND,3033.71,ADD_HOLDING,1.5163,4600.00,CNY,0,天弘中证银行ETF联接A
2026-02-09,164906.FUND,2564.22,ADD_HOLDING,1.2713,3260.00,CNY,0,交银中证海外中国互联网指数(LOF)A
